age,income,account_balance,city_code,num_products,years_as_customer,last_contact_days,num_contacts,prev_outcome,marital_status_code,education_code,job_code,churn
23,100830.0,43967.0,15,2,5,226,18,1,1,1,10,0
62,93670.0,3572.0,13,5,1,302,8,2,0,0,2,0
55,75831.0,20177.0,18,1,18,234,19,0,2,2,7,0
43,108640.0,23183.0,19,3,20,217,11,1,1,2,6,0
42,32826.0,39995.0,14,5,23,171,8,2,2,1,7,1
66,112105.0,6886.0,8,5,28,90,1,2,1,3,1,1
22,105022.0,21985.0,12,2,14,103,12,1,2,2,5,1
57,70363.0,8040.0,9,4,24,272,13,0,1,0,7,0
29,93339.0,39487.0,12,1,21,26,19,0,0,3,4,0
23,72027.0,31797.0,16,1,8,31,14,1,0,0,10,1
48,46876.0,25088.0,8,2,25,145,1,1,1,2,6,1
73,99987.0,19949.0,10,5,1,282,11,0,1,1,4,0
59,44592.0,8082.0,1,4,17,240,15,0,2,2,0,1
61,51445.0,46131.0,14,3,28,215,10,1,1,3,2,0
58,71929.0,32559.0,10,2,19,195,9,2,2,2,5,1
62,103738.0,16298.0,9,1,28,41,16,0,0,2,4,1
47,58392.0,20989.0,11,2,1,121,12,1,1,3,10,1
25,69414.0,36445.0,5,1,15,29,13,0,2,2,9,1
65,24166.0,36118.0,12,1,23,276,9,0,0,3,1,1
43,31585.0,23324.0,15,4,19,274,6,1,0,1,7,0
46,25594.0,15493.0,7,1,26,94,10,0,2,0,5,1
39,27205.0,33167.0,3,1,13,107,19,0,1,0,1,0
28,106852.0,33082.0,8,3,20,116,12,2,2,2,7,1
70,104199.0,30184.0,4,2,12,324,14,0,1,2,6,1
62,102188.0,4106.0,8,3,26,178,3,0,2,0,1,1
54,25556.0,23902.0,12,1,3,278,19,2,2,0,5,1
40,27764.0,30888.0,3,2,7,164,5,1,2,3,8,1
64,48061.0,47528.0,15,3,2,255,19,0,0,2,3,0
49,76529.0,26515.0,5,4,21,193,9,1,1,3,4,0
43,53413.0,17464.0,17,3,6,102,18,1,0,0,1,0
43,68756.0,28011.0,14,3,9,319,17,0,0,0,2,0
30,37299.0,9273.0,6,3,25,259,15,1,0,1,11,0
23,93077.0,4989.0,11,2,10,281,18,1,1,3,7,0
49,51389.0,34065.0,3,2,4,346,12,0,1,2,2,0
68,26654.0,49316.0,2,3,0,91,17,2,2,3,5,1
21,94269.0,42377.0,19,1,6,34,4,1,0,1,2,1
66,110278.0,29391.0,16,4,27,212,2,2,1,1,5,0
65,21468.0,2492.0,3,4,16,119,11,0,2,2,1,0
33,63667.0,49404.0,6,2,29,159,16,0,2,3,7,0
54,102717.0,22756.0,4,2,6,86,15,2,0,1,6,1
27,90616.0,14838.0,8,2,10,146,11,2,2,2,7,0
61,105654.0,44678.0,6,4,4,144,10,0,0,3,5,1
57,61521.0,37446.0,7,4,11,128,12,2,1,1,3,0
38,57226.0,37606.0,11,1,16,271,17,0,1,3,2,0
21,90917.0,14248.0,4,3,24,216,16,1,2,2,2,0
73,35361.0,49594.0,17,1,11,173,3,0,2,3,5,0
43,43942.0,22916.0,14,3,23,42,12,1,2,1,5,1
68,80084.0,26804.0,15,2,18,208,8,2,2,2,8,0
56,86845.0,37672.0,4,2,8,64,16,2,1,1,0,0
62,31967.0,33169.0,14,3,27,115,10,2,2,2,3,0
61,70831.0,9028.0,16,2,13,152,19,0,0,1,10,1
29,56491.0,15472.0,4,2,4,52,9,2,1,2,10,1
38,70174.0,18378.0,15,4,28,142,13,1,0,3,11,1
44,115842.0,47403.0,7,5,27,98,3,1,2,1,3,0
46,27661.0,35868.0,15,1,1,310,18,2,2,1,1,0
20,119546.0,18633.0,10,2,27,313,3,1,2,1,2,0
49,64957.0,36868.0,16,5,28,2,8,1,2,2,1,1
26,97210.0,37056.0,3,3,24,220,16,1,0,2,11,0
60,62447.0,20013.0,8,2,7,234,19,1,2,2,10,1
56,51096.0,20455.0,6,3,18,138,10,2,1,0,9,0
70,97059.0,44767.0,5,1,16,171,10,1,2,0,8,1
60,88766.0,28310.0,6,1,18,288,1,1,2,0,4,1
38,34405.0,7901.0,8,4,18,138,19,0,1,3,5,1
73,90540.0,36129.0,3,3,19,24,1,1,0,3,10,1
41,95307.0,29683.0,14,4,15,136,1,2,1,0,9,1
36,58784.0,25692.0,11,2,20,93,9,1,1,0,6,0
69,112564.0,36392.0,16,5,15,140,1,0,2,3,10,1
39,84088.0,45400.0,14,3,0,84,4,1,1,2,4,1
22,53362.0,16856.0,3,4,1,55,12,2,1,1,4,1
44,21072.0,21255.0,2,1,28,359,14,0,1,2,10,0
63,87496.0,9880.0,9,1,27,47,6,0,0,0,4,1
28,40905.0,32530.0,10,4,17,258,16,1,0,0,9,1
44,95652.0,20434.0,5,5,5,262,12,1,0,1,5,1
25,72508.0,17446.0,15,5,23,225,5,0,1,3,3,0
57,66672.0,34977.0,12,2,4,332,14,2,1,3,2,0
45,36375.0,20703.0,15,1,11,2,12,2,2,0,7,1
36,91150.0,23486.0,3,5,9,110,16,1,2,2,5,0
30,36590.0,22282.0,16,4,0,68,3,1,0,3,4,0
50,61775.0,13297.0,4,2,24,211,5,0,0,3,8,0
56,103630.0,6727.0,9,4,15,232,6,2,1,3,0,1
71,112036.0,41448.0,9,5,9,327,7,2,2,0,1,0
42,118913.0,5040.0,16,2,15,139,17,1,0,0,11,1
27,115801.0,16581.0,6,4,0,86,14,1,0,0,7,0
65,75596.0,33540.0,5,4,13,337,11,2,0,0,6,0
53,40048.0,6999.0,7,3,15,245,11,2,1,0,0,1
57,103906.0,32948.0,7,4,10,279,17,0,2,1,7,0
23,100163.0,36786.0,4,2,24,162,9,2,2,2,5,0
35,119032.0,33314.0,4,5,7,163,5,2,1,1,7,1
61,85094.0,15599.0,5,5,4,142,3,2,0,1,0,0
65,34159.0,1478.0,9,5,15,273,7,1,1,0,6,1
42,70290.0,44423.0,7,4,26,77,13,1,1,0,6,0
63,64824.0,16664.0,8,1,11,356,9,0,0,3,3,0
65,104294.0,40347.0,14,2,1,65,9,1,2,2,0,1
40,59257.0,10291.0,5,3,29,168,10,0,2,0,11,0
69,52859.0,8539.0,18,5,13,115,19,1,0,3,8,0
34,28004.0,39018.0,15,3,5,234,19,0,0,3,7,1
31,103545.0,47016.0,4,3,18,248,4,1,0,3,9,0
56,95533.0,43101.0,6,1,9,335,3,1,2,0,8,1
54,24122.0,37686.0,4,4,28,288,5,0,1,2,1,0
25,63377.0,12710.0,6,2,8,91,17,2,0,3,5,1
65,67971.0,45703.0,7,1,16,76,9,1,0,3,10,1
29,66932.0,33558.0,3,5,16,323,17,2,0,0,3,0
63,111893.0,9022.0,1,1,7,178,13,0,1,3,11,1
18,35067.0,6903.0,9,1,14,36,11,2,2,1,0,1
63,50634.0,43622.0,14,1,3,301,6,0,0,1,3,0
62,38092.0,14120.0,6,3,19,237,7,1,0,2,4,0
62,44408.0,38411.0,17,1,22,10,3,1,1,3,7,1
55,110710.0,7363.0,8,5,28,285,10,1,2,0,2,0
44,114072.0,14386.0,18,3,9,222,6,1,1,2,2,0
58,24464.0,14534.0,5,2,8,224,6,2,0,3,7,1
33,83209.0,14414.0,11,1,16,315,1,0,0,2,3,0
62,43285.0,33899.0,15,3,20,181,16,2,2,1,10,0
49,39256.0,45762.0,2,1,29,168,18,0,2,0,10,0
44,49205.0,45561.0,18,5,0,225,10,0,2,2,3,0
46,39438.0,37206.0,7,2,7,72,11,0,1,2,6,0
50,69019.0,10524.0,10,3,7,56,18,2,2,2,3,0
20,119561.0,48048.0,12,1,7,308,10,0,1,3,4,0
25,78644.0,27332.0,13,1,13,79,12,1,0,2,8,0
31,92324.0,27525.0,1,2,26,184,9,1,1,2,3,0
24,69328.0,35218.0,17,1,0,99,10,2,2,0,1,0
43,21390.0,38570.0,12,4,24,84,10,1,1,2,3,0
56,28411.0,47669.0,19,5,18,218,14,2,2,0,11,1
55,46887.0,29327.0,9,5,18,293,12,2,2,2,3,1
44,44366.0,30697.0,12,2,20,161,10,2,0,0,4,0
66,104057.0,37403.0,9,4,3,51,2,2,0,3,7,0
50,104358.0,13127.0,17,3,22,89,18,0,0,1,1,0
22,105412.0,15731.0,16,1,7,60,17,1,2,1,3,0
61,83758.0,31461.0,18,1,15,322,4,1,2,0,2,0
50,75617.0,3674.0,10,3,20,117,6,0,0,0,11,1
54,84914.0,16364.0,16,3,18,137,19,0,0,3,11,0
50,60680.0,36040.0,7,1,9,26,7,0,1,1,9,1
49,87020.0,48818.0,9,5,11,163,16,2,1,2,2,0
23,99444.0,26215.0,15,4,14,333,15,1,2,3,7,1
49,96290.0,20283.0,2,3,1,150,17,0,2,2,7,0
63,81383.0,22298.0,14,5,21,238,1,2,0,0,10,0
35,25810.0,34428.0,1,5,2,67,10,2,0,1,1,0
52,92494.0,27451.0,12,5,13,53,11,2,1,1,8,0
19,56660.0,1649.0,10,2,19,267,16,2,1,1,2,1
37,94366.0,27192.0,9,5,2,24,5,2,2,0,6,1
42,73952.0,20303.0,10,3,29,164,6,0,1,2,10,1
74,108118.0,35189.0,10,4,11,116,4,2,1,1,0,0
30,53845.0,43817.0,8,5,0,6,15,1,0,1,1,0
33,113139.0,48141.0,9,1,19,194,19,1,0,1,9,0
41,104447.0,30706.0,11,3,16,351,3,1,2,1,0,1
74,53110.0,18446.0,15,1,19,26,5,1,2,0,8,1
66,68257.0,22475.0,11,2,22,297,6,1,0,1,6,0
19,73134.0,9234.0,13,3,14,197,17,2,2,3,4,1
31,96862.0,46828.0,16,5,24,264,9,0,1,2,10,1
64,88915.0,42441.0,19,5,11,36,6,0,1,2,10,0
21,105201.0,42772.0,3,2,16,317,7,0,2,3,3,1
66,56986.0,16742.0,14,2,4,5,12,2,2,2,0,1
34,70479.0,16449.0,5,3,18,331,8,1,0,0,1,1
70,63086.0,42902.0,4,5,7,240,3,1,0,1,1,0
34,110955.0,27455.0,16,5,20,123,16,1,2,1,11,0
42,50498.0,35380.0,2,2,24,3,9,1,2,1,7,1
55,78712.0,24746.0,17,1,25,223,5,1,0,0,8,0
25,32016.0,22417.0,15,4,27,32,14,0,2,0,2,0
49,105027.0,31794.0,19,2,3,222,15,0,1,1,10,0
