sqft,bedrooms,bathrooms,age_years,distance_to_center,neighbourhood_code,condition_score,garage,floors,price
812.0,5,3,62.0,25.360593079790924,9,4.726248239191261,0,2,49042.55603812211
3208.0,4,1,54.0,13.66849001823943,12,6.1345823765103225,0,1,58334.93206644133
2791.0,3,2,74.0,28.612767266023052,9,1.0057807332988635,1,2,54832.16692417821
2036.0,5,2,76.0,19.698440396673234,9,6.80385803210076,0,2,54098.67838921408
2015.0,1,3,56.0,3.919016526917858,7,7.463582129151431,1,1,56608.81150527411
3505.0,5,1,30.0,26.61024315269062,4,6.103984289399131,1,3,63598.04166481287
800.0,5,2,48.0,14.933323129508535,4,5.4690293533925445,1,2,56611.36210290339
2940.0,3,1,34.0,4.678349555200697,11,8.289428263405375,0,1,71557.67564170994
1205.0,4,3,50.0,5.0043589483219115,1,7.132354454487176,0,3,52667.42449808234
829.0,3,2,65.0,20.78225108574122,2,3.502666357480207,0,1,48600.03602010699
2342.0,2,2,30.0,1.8974889485199486,6,9.631660042719872,0,2,71882.66796542204
3914.0,4,2,40.0,8.954516064957492,11,7.365404747758067,0,2,71870.00398403108
3075.0,2,1,4.0,4.6237339188611095,10,9.891450360211822,1,2,208999.5836714817
3163.0,2,3,59.0,13.511784173709886,9,9.741351846419816,0,3,55989.70546170995
3011.0,3,2,39.0,12.723436273833657,8,9.270187505290808,1,3,64004.174564675035
3251.0,5,1,37.0,15.895354823321249,2,7.798343871027768,0,2,60471.18311371328
2296.0,2,2,43.0,8.749271708524642,5,6.484864316472707,0,3,56958.025738236065
948.0,3,3,18.0,1.4452858866562273,2,2.549535973146318,1,3,66262.74758102544
3439.0,1,3,48.0,18.62439014278798,11,5.890162756813819,0,3,53073.34884540742
2076.0,1,2,59.0,11.524681085029364,11,7.888388701548946,0,2,49700.810879102
2251.0,1,1,28.0,19.71438246283137,4,5.687714428350111,1,1,56213.833976620015
1797.0,1,2,11.0,3.7056756387259195,5,8.81415215565092,1,1,82689.1212191186
1138.0,5,2,31.0,0.9064319811744848,5,1.9869030927252844,1,2,65067.12822088082
3743.0,5,2,16.0,7.824680312616136,13,4.428463132437707,1,2,73813.05998217654
3235.0,5,1,30.0,13.96814602832454,7,5.553679767342915,1,1,67572.36340885094
2753.0,1,2,50.0,12.125123237969785,11,4.890927662821973,1,1,48893.940684890724
1908.0,1,2,9.0,24.40392538056726,7,1.9772789303939777,1,3,63724.9468942551
3379.0,2,3,60.0,11.646210503688307,10,2.381754646401675,0,3,52246.12415035807
2409.0,3,2,18.0,16.148014798290827,8,8.538555635699385,1,3,76509.78899273889
2051.0,2,2,71.0,18.00870997704467,4,5.359458332813059,0,1,48159.571450582574
2076.0,3,2,58.0,1.1440260535514424,13,1.4385018407745487,0,1,59791.398523853546
1295.0,1,1,22.0,15.696434616962575,10,1.1484213307988491,0,1,52969.59975167275
822.0,4,1,45.0,10.672522152265717,11,5.261278617948939,1,3,57655.392616245284
2441.0,2,3,9.0,12.927763766656012,14,2.4794085333199933,0,2,57644.24626654102
3607.0,1,3,8.0,3.4584782556098825,4,7.346133513992997,1,3,119262.82500098755
723.0,4,3,76.0,23.593206686635035,2,8.157911162749762,0,2,47472.34968752564
3504.0,5,2,64.0,28.300925398851415,9,3.0546703761139504,1,2,55795.982867106584
3396.0,1,1,13.0,1.1569302085732,5,6.329592503936027,1,2,94938.64475070153
1468.0,3,3,23.0,18.24049650293476,7,2.390001791368474,1,3,58940.78702694072
2710.0,5,2,16.0,23.033399985006564,4,3.732243864349483,0,2,60856.79316561846
1078.0,4,1,32.0,8.901823865171737,6,8.9991594476329,1,2,61034.474479293276
3153.0,5,3,24.0,23.732889753464896,6,5.896882823340797,0,3,71563.06286081263
2951.0,3,3,26.0,19.154473997605887,5,8.972998256297801,1,2,64071.416505900736
1740.0,2,3,42.0,27.910297651996565,11,3.0272302376155626,0,3,55407.7560613402
737.0,4,1,15.0,29.439641934936297,9,3.970219089237994,1,2,58218.83512271233
3897.0,1,3,70.0,1.7492103629617917,7,5.2385692461113536,1,3,60475.94142591036
2059.0,2,2,58.0,13.625663950296683,2,5.320720676750886,1,2,49486.99463096763
3625.0,4,2,61.0,16.636139733557435,8,9.978831704653304,1,2,66374.38873346243
2872.0,4,3,14.0,4.8289253796257485,3,2.030007870740171,0,1,55421.80809869867
3224.0,1,2,56.0,10.42043199760717,5,8.667685320414318,1,2,60199.72757457419
3159.0,3,1,67.0,29.635599708815622,6,8.773138354796831,0,1,58443.8584843197
1181.0,2,1,14.0,0.9787984621029076,2,5.978787683840086,1,2,73273.10994210336
1773.0,3,2,60.0,13.84898397996933,6,4.0963345143323835,0,3,50542.530886322966
2133.0,5,3,29.0,25.358311340686786,4,5.6730349385946655,1,2,55898.60328792353
2242.0,1,3,63.0,10.055087250219009,12,3.632209343259074,1,2,53990.2244069913
653.0,5,2,38.0,14.654055831277024,13,8.191967035959456,1,1,57674.30523020607
2412.0,3,3,64.0,29.352349500745408,1,5.484512428392971,1,3,63967.39807740445
1040.0,4,3,12.0,14.508866676033264,9,9.332579609897055,0,2,60609.76277181292
3101.0,3,2,31.0,4.362178708321721,9,6.604222099204394,1,2,66813.78489993945
2890.0,2,2,22.0,2.0257840041585364,6,5.62887399803215,1,1,65215.902688897106
3728.0,4,3,20.0,28.38978888697848,7,7.399624185798871,1,1,82166.0341743673
3106.0,4,2,25.0,8.341377691614438,12,5.535396679872108,1,1,61058.301724590914
1783.0,1,1,31.0,15.369885243654252,6,9.140557153775024,1,3,58365.46899771483
3886.0,4,3,11.0,3.1757020996540737,1,2.6600136479815717,0,3,69497.68235777882
1937.0,4,2,56.0,12.997826056242848,6,9.76013815371315,1,1,57205.06326815571
